hostname,n_planets,avg_radius_earth,avg_mass_jupiter
TOI-5126,2,4.3,17.2
Kepler-1181,2,1.7000000000000002,3.55
KOI-1783,2,7.15,43.0
K2-36,2,2.315,6.1
K2-350,2,2.14,5.470000000000001
HIP 113103,2,2.1145,5.175
HD 95089,2,13.399999999999999,748.48965
HD 92788,2,13.0,1180.7384499999998
TOI-2345,2,1.9775,5.38
HD 63935,2,2.9901327,10.8
HD 137496,2,6.955,1219.30279881
GJ 687,2,4.23,16.6
HD 217786,2,7.455,2204.93457356
HD 73583,2,2.59,9.95
BD+20 2457,2,12.25,5385.4
Kepler-118,2,4.82,25.1
TOI-5799,2,1.7465000000000002,3.7
TOI-2000,2,5.42,46.35
TOI-1438,2,2.895,10.0
Kepler-969,2,1.5299999999999998,2.9385000000000003
Kepler-50,2,1.94,8.55
Kepler-647,2,2.58567501,8.405
HD 23079,2,8.0,426.84178131
Kepler-59,2,1.54,3.955
Kepler-595,2,2.3585000000000003,10.35
Kepler-1129,2,2.8449999999999998,8.48
Kepler-417,2,2.5,9.35
Kepler-277,2,3.1399999999999997,75.75
Kepler-769,2,2.355,6.3549999999999995
Kepler-913,2,2.95903545,9.55
KOI-3503,2,1.2,9.78
Kepler-1001,2,2.363996395,6.6049999999999995
Kepler-189,2,1.795,12.309999999999999
Kepler-161,2,2.085,3.12
Kepler-1126,2,1.5899999999999999,3.17
Kepler-113,2,2.0,10.2
KOBE-1,2,3.2350000000000003,10.600000000000001
K2-35,2,1.625,3.34
K2-331,2,2.255,5.8549999999999995
K2-24,2,6.45,17.2
K2-172,2,2.43588588,6.91
HD 151450,2,9.870000000000001,837.3189382449999
GJ 3473,2,1.947,4.635
GJ 273,2,1.2850000000000001,2.035
HIP 67851,2,13.2,1285.139163705
24 Sex,2,13.65,452.89
TOI-238,2,1.8695,5.035
HD 206893,2,15.188168845,6467.808082449999
HD 43197,2,13.399999999999999,1338.216507675
HIP 8541,2,13.25,1353.631185415
HIP 56998,2,0.973,0.882
Kepler-260,2,1.875,4.19
HD 73526,2,13.2,847.0032
HD 83443,2,13.85,302.254815055
GJ 2030,2,7.165,2036.962260465
EPIC 212587672,2,1.79,4.0600000000000005
Kepler-237,2,1.745,3.7750000000000004
Kepler-373,2,1.3,2.245
Kepler-404,2,1.495,2.88
TOI-1470,2,2.325,7.28
Kepler-344,2,2.7800000000000002,8.165
Kepler-386,2,1.4849999999999999,2.815
HD 202696,2,,613.4119000000001
Kepler-210,2,3.2800000000000002,10.88
Kepler-1090,2,2.7713289249999997,8.295
Kepler-1143,2,2.635,8.015
Kepler-400,2,1.5699999999999998,3.0949999999999998
Kepler-392,2,1.05,1.171
Kepler-377,2,1.725,3.705
Kepler-369,2,1.27,2.04
Kepler-133,2,2.3,6.1
KMT-2020-BLG-0414L,2,6.55,4291.6184945
K2-223,2,1.195,1.75
K2-189,2,1.8565,4.25
HAT-P-13,2,13.279,2404.4415
HAT-P-11,2,8.78,438.39006538
Kepler-1859,2,1.621567875,3.26
Kepler-93,2,1.478,479.33
Kepler-598,2,2.262104705,6.13
UZ For,2,,2224.7
Kepler-371,2,1.835,4.025
Kepler-376,2,1.4300000000000002,2.55
Kepler-322,2,1.3399999999999999,2.22
GJ 4274,2,2.18,5.680000000000001
HD 219828,2,8.395,2560.7434752
Kepler-246,2,1.92,4.47
HD 12235,2,7.865,1573.0917004449998
HD 37605,2,13.149999999999999,934.4202
HD 107148,2,7.15,43.318529139999995
K2-414,2,1.5738500000000002,3.1799999999999997
Kepler-1047,2,1.54,2.9785
NN Ser,2,12.95,1527.1109999999999
Kepler-1371,2,0.685,0.2555
K2-75,2,2.7199999999999998,7.855
TOI-1410,2,4.365415045,19.75
TOI-1836,2,5.301544005,23.228618625
Kepler-321,2,2.045,4.885
HAT-P-17,2,12.434725,632.4707
K2-229,2,1.515,4.775
HD 65216,2,13.5,528.392375
HD 45364,2,11.614999999999998,117.326356445
GJ 143,2,1.751,13.2
HD 216520,2,3.105,9.85
Kepler-337,2,1.795,3.9250000000000003
HD 20003,2,3.66,13.05
BD-210397,2,13.45,869.7881768
HD 140901,2,8.735,293.83236227000003
GJ 1132,2,1.310757325,2.238524095
GJ 15 A,2,4.11,19.515
GJ 3929,2,1.6749999999999998,3.73
HATS-59,2,12.460667,2146.30599
GJ 414 A,2,5.515000000000001,30.715
HD 104067,2,6.444999999999999,37.65
EPIC 220674823,2,2.258,7.5600000000000005
Kepler-1398,2,0.9650000000000001,0.873
Kepler-236,2,1.7850000000000001,3.875
TOI-1346,2,2.31,5.949999999999999
HD 169830,2,12.899999999999999,1620.9248757
Kepler-278,2,3.6115,45.45
Kepler-284,2,2.425,6.485
EPIC 212737443,2,2.638,7.45
Kepler-269,2,2.08,5.08
Kepler-248,2,3.545,12.49
HD 73267,2,12.9,1476.154036315
HD 82943,2,13.45,578.4265
Kepler-330,2,1.65,3.425
TOI-1670,2,6.561631975,120.77479466
Kepler-415,2,1.6099999999999999,62.300000000000004
Kepler-2000,2,2.15,5.495
HD 213885,2,3.2275,14.39
K2-240,2,1.9,4.275
Kepler-1991,2,2.02,4.945
Kepler-1972,2,0.835,2.065
K2-395,2,2.996,9.33
K2-396,2,2.3515,6.525
K2-83,2,1.3635000000000002,2.44
Kepler-193,2,2.5700000000000003,7.15
HD 105618,2,8.67,4222.5093012
TOI-5788,2,1.9,5.0600000000000005
TOI-286,2,1.65,4.125
TOI-2537,2,11.976908309999999,1356.65055528
Kepler-179,2,1.8199999999999998,3.995
K2-343,2,1.835,4.05
GJ 887,2,2.275,5.9
TOI-5489,2,1.3399999999999999,2.3600000000000003
TOI-1338 A,2,8.9805,43.35
Kepler-432,2,13.0671525,1245.8935999999999
Kepler-137,2,1.6749999999999998,3.475
Kepler-143,2,2.89,8.845
Kepler-151,2,2.575,7.305
Kepler-345,2,0.97,1.34
Kepler-264,2,3.08,9.75
Kepler-1610,2,1.85,4.12
Kepler-259,2,2.75,8.0
Kepler-1921,2,2.15229729,5.6450000000000005
Kepler-175,2,2.83,8.440000000000001
Kepler-125,2,1.5550000000000002,3.27
