hostname,n_planets,avg_radius_earth,avg_mass_earth,sy_dist,ra,dec
TOI-700,4,1.385,2.5105,31.1265,97.0957165,-65.5786149
Kepler-132,4,1.305,2.22,349.549,283.23581,41.343037
Kepler-220,4,1.1724999999999999,1.69525,171.109,291.5060432,46.8956262
K2-72,4,1.135,1.5375,66.4321,334.6227504,-9.6120084
Kepler-138,4,1.11425,1.225,66.8624,290.3814122,43.2930645
Kepler-197,4,1.0950000000000002,2.2532499999999995,330.575,295.2264739,50.5592348
Kepler-37,4,0.8662,3.0475,63.9207,284.0592503,44.5183733
Kepler-1542,4,0.76,0.381,399.114,285.7284757,42.6544651
Barnard's star,4,0.6985,0.2725,1.82655,269.4486144,4.7379808
HD 215152,4,,695.0112690075,21.5974,340.8380941,-6.4020685
HIP 57274,3,14.2,1218.9487539966667,25.8618,176.1705487,30.9576484
HD 37124,3,14.033333333333333,214.3233633333333,31.6634,84.2599947,20.7289784
47 UMa,3,13.633333333333333,498.97366666666676,13.7967,164.8647611,40.4304931
HIP 14810,3,13.566666666666668,614.4713333333334,50.48,47.809275,21.0971302
2MASS J19383260+4603591,3,13.466666666666667,558.3195771966666,396.332,294.6359173,46.0664076
HD 181433,3,13.2,1591.2608910466668,26.8762,291.2873731,-66.4677838
HD 11506,3,13.066666666666668,1915.4458661866665,51.261,28.2106607,-19.507396
ups And,3,12.933333333333332,2639.8377672033334,13.4054,24.1983534,41.4038147
HD 184010,3,12.733333333333334,112.29937047333334,60.7993,292.8401421,26.6172796
HD 33142,3,12.306666666666667,248.96558548333334,121.375,76.8980559,-13.9863374
HD 142,3,12.0,1934.62151341,26.1853,1.5836771,-49.0753625
HD 27894,3,11.68,770.6280301933333,43.8214,65.1975693,-59.4096776
KOI-142,3,10.179333333333334,396.2489988533334,376.863,291.1481028,40.669413
HD 125612,3,9.99,1080.7225266033333,57.6207,215.2227183,-17.4818147
HD 73344,3,9.861333333333333,313.16414455333336,35.26,129.6894456,23.6852651
HD 204313,3,9.803333333333333,2117.3728474333334,47.7945,322.0510568,-21.7274194
Kepler-56,3,9.703333333333333,662.3666666666667,912.994,293.7583002,41.871807
TOI-7510,3,9.546666666666665,113.03333333333335,249.006,273.728188,-54.4340547
Kepler-454,3,9.523333333333333,724.3299119133334,230.869,287.4786474,38.2290751
TOI-4504,3,9.129296963333333,551.7562987366667,342.605,114.4673065,-62.0782776
Kepler-30,3,8.333333333333334,224.79999999999998,914.221,285.2836483,38.9472625
WASP-132,3,8.24676387,594.0950461066667,122.91,217.6091998,-46.159516
Kepler-46,3,8.065666666666667,676.6096666666666,777.06,289.2687388,42.6041819
HD 153557,3,7.010000000000001,2921.160888736667,17.9412,254.4706516,47.3678558
HD 39091,3,6.012966666666667,1499.4635129,18.2702,84.2992798,-80.4646041
Kepler-9,3,6.003333333333333,27.23822017666667,628.257,285.5739904,38.4008192
Kepler-25,3,5.988333333333333,31.933333333333337,243.249,286.6383905,39.4879038
Kepler-129,3,5.84,900.3252593666666,408.845,285.3111845,47.8484775
Kepler-487,3,5.625045226666667,7.885,872.343,295.2872318,41.2220033
Kepler-47,3,4.913333333333334,8.086666666666666,1025.02,295.2978883,46.9204303
Kepler-31,3,4.8999999999999995,1230.5619333333334,1664.64,294.0230229,45.8530535
Kepler-18,3,4.823333333333333,13.533333333333333,433.047,298.0794448,44.746248
Kepler-148,3,4.693333333333333,24.263333333333332,791.163,289.7861626,46.8588176
Kepler-281,3,4.689159353333333,379.708,1745.45,294.1081465,44.7706524
Kepler-257,3,4.323333333333333,18.073333333333334,780.256,297.3159994,46.0232642
K2-19,3,4.069999999999999,17.733333333333334,289.827,174.9602543,0.603596
K2-157,3,4.058333333333334,18.413333333333334,298.373,183.7514959,-5.7820178
Kepler-1311,3,4.039458683333334,23.849999999999998,866.331,289.6512597,43.8244445
Kepler-359,3,3.9466666666666668,5.933333333333334,1443.21,293.2936129,42.1963497
61 Vir,3,3.893333333333333,15.399999999999999,8.50332,199.596455,-18.3157745
GJ 163,3,3.89,15.6,15.1285,62.3228353,-53.3711768
Kepler-27,3,3.8687315333333334,2429.653333333333,1044.36,292.2367608,41.085871
Kepler-222,3,3.83,14.233333333333334,758.854,287.9060885,46.9377479
HD 69830,3,3.6933333333333334,13.366666666666667,12.5591,124.6010091,-12.6364246
Kepler-229,3,3.6566666666666667,13.726666666666667,826.265,286.9994758,48.3757867
Kepler-19,3,3.6496666666666666,13.9,218.562,290.4209694,37.8516556
GJ 433,3,3.58,14.562666666666665,9.06456,173.8619194,-32.5436302
HD 31527,3,3.51,12.15,38.4473,73.9096193,-23.2413163
Kepler-603,3,3.49,14.769999999999998,1539.63,294.2809679,42.2909295
